face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
6,11,17,7,4,11,-1
4,5,17,10,2,12,-1
4,3,24,10,2,12,1
8,10,18,10,8,18,0
9,6,26,4,6,10,1
8,11,19,8,10,18,-1
10,4,25,3,10,13,1
10,9,19,4,10,14,-1
2,10,19,7,4,11,-1
4,5,22,2,7,12,1
9,2,19,7,9,16,-1
10,3,20,7,6,13,-1
9,9,18,2,8,10,-1
8,4,23,8,10,18,1
6,4,20,9,6,15,-1
2,10,23,11,4,15,1
7,8,26,4,2,15,1
8,9,17,7,10,17,0
6,4,24,6,5,11,1
9,11,20,3,9,12,-1
2,10,24,2,7,11,1
5,10,24,4,6,10,1
7,9,19,7,9,16,-1
2,10,22,4,5,17,1
7,10,17,9,9,18,1
10,6,26,3,11,14,1
9,6,17,8,6,14,-1
10,3,22,6,5,11,1
10,10,20,4,9,13,-1
9,10,19,7,2,19,0
2,4,21,6,10,16,0
7,5,21,2,6,18,0
7,3,18,2,7,19,1
7,8,23,6,2,10,1
7,5,17,8,8,16,-1
11,9,20,5,10,15,-1
6,3,13,8,10,18,1
2,11,21,2,7,19,1
7,10,17,9,10,19,1
7,10,17,8,4,12,-1
8,3,21,11,7,18,-1
11,4,25,10,9,19,1
4,8,22,7,11,18,1
10,9,19,5,8,13,-1
10,6,22,9,6,15,1
10,10,20,11,10,21,1
10,10,20,3,9,12,-1
10,11,31,8,4,12,1
4,6,24,10,3,13,1
11,7,18,4,9,13,-1
9,5,24,7,11,18,1
10,4,25,7,8,15,1
9,2,20,4,3,10,-1
5,6,21,6,6,12,-1
10,10,20,7,2,12,-1
7,11,18,9,6,15,-1
9,11,20,10,10,20,0
3,7,16,5,10,15,0
7,10,17,9,6,15,-1
2,10,23,5,10,15,1
10,11,31,10,6,16,1
8,10,18,11,4,15,-1
5,4,20,6,2,15,-1
5,6,25,5,11,16,1
10,4,24,11,10,21,1
9,5,21,10,10,20,1
3,4,20,11,2,13,-1
10,5,25,3,10,13,1
8,4,23,8,2,10,1
10,5,17,7,7,14,-1
5,5,22,9,5,14,1
5,6,21,11,5,16,1
10,4,23,3,3,16,1
8,10,18,10,10,20,1
