face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
9,8,17,5,10,15,-1,gone
10,10,20,4,9,13,-1,gone
8,9,17,3,3,16,-1,gone
8,10,18,6,10,16,-1,gone
4,5,19,9,5,14,-1,gone
8,7,26,6,10,16,1,bread
6,10,27,4,4,11,1,bread
3,10,21,4,9,13,1,bread
7,10,17,9,11,20,1,bread
2,10,22,6,5,11,1,bread
2,11,19,3,7,10,-1,gone
3,10,22,10,10,20,1,bread
6,5,21,11,5,16,1,bread
9,10,19,4,10,14,-1,gone
7,4,18,6,6,12,-1,gone
8,7,26,2,7,20,1,bread
10,10,20,9,5,14,-1,gone
11,7,18,10,10,20,1,bread
4,4,17,3,9,12,-1,gone
3,2,23,4,3,11,1,bread
9,8,17,6,9,15,-1,gone
2,10,23,9,5,14,1,bread
11,3,24,10,7,17,1,bread
11,7,18,6,7,13,-1,gone
3,10,20,2,2,10,-1,gone
3,2,20,7,10,17,-1,gone
5,6,23,4,11,15,1,bread
10,2,17,10,10,20,1,bread
10,2,21,5,10,15,1,bread
5,2,12,10,8,18,1,bread
9,4,19,4,10,14,-1,gone
6,3,20,2,8,10,-1,gone
6,10,22,10,3,13,1,bread
6,9,25,10,2,12,1,bread
2,8,20,7,2,17,-1,gone
10,10,20,6,11,17,-1,gone
5,7,22,9,6,15,1,bread
10,5,21,11,9,20,1,bread
8,5,23,6,10,16,1,bread
6,4,21,4,8,12,1,bread
11,3,20,10,9,19,-1,gone
9,8,17,2,2,14,-1,gone
5,8,21,11,5,16,-1,gone
10,10,20,8,4,12,-1,gone
10,11,29,7,6,13,1,bread
10,7,17,9,10,19,1,bread
9,7,18,10,4,14,-1,gone
8,7,20,11,5,16,-1,gone
10,11,24,5,10,15,1,bread
3,2,26,4,6,10,1,bread
10,10,20,6,10,16,-1,gone
6,3,19,5,11,16,-1,gone
5,10,25,10,10,20,1,bread
2,3,15,7,5,12,1,bread
10,9,19,10,10,20,1,bread
6,3,17,11,8,19,1,bread
10,3,23,9,6,15,1,bread
2,7,20,2,10,12,-1,gone
5,2,19,10,4,14,-1,gone
5,3,18,10,9,19,1,bread
5,6,21,6,2,16,1,bread
4,10,18,10,3,13,-1,gone
10,10,20,10,2,12,-1,gone
4,3,23,8,4,12,1,bread
10,10,20,10,2,12,-1,gone
10,9,19,4,2,16,-1,gone
5,3,17,10,9,19,1,bread
11,2,23,9,4,13,1,bread
11,6,17,10,6,16,-1,gone
2,4,21,9,8,17,-1,gone
10,8,18,6,6,12,-1,gone
10,10,20,10,10,20,0,fight
10,2,20,9,2,11,-1,gone
7,4,21,6,6,12,-1,gone
5,11,24,10,8,18,1,bread
11,6,17,2,3,9,-1,gone
11,11,29,7,7,14,1,bread
3,4,21,10,10,20,1,bread
6,6,19,7,11,18,-1,gone
7,10,17,9,3,12,-1,gone
2,3,23,9,10,19,1,bread
10,10,20,10,6,16,-1,gone
5,7,25,10,4,14,1,bread
4,2,23,8,7,15,1,bread
10,4,24,4,5,19,1,bread
11,5,26,2,2,14,1,bread
2,3,20,10,8,18,-1,gone
10,10,20,10,10,20,0,fight
5,4,17,2,10,12,-1,gone
11,4,26,2,2,9,1,bread
10,9,19,10,10,20,1,bread
10,9,19,5,10,15,-1,gone
5,4,20,9,10,19,-1,gone
10,2,17,7,8,15,-1,gone
11,11,26,2,8,10,1,bread
10,10,20,6,3,19,-1,gone
10,6,19,9,2,11,-1,gone
10,10,20,4,4,18,-1,gone
4,9,20,6,11,17,-1,gone
11,11,24,5,10,15,1,bread
9,10,19,4,3,17,-1,gone
10,10,20,8,2,10,-1,gone
9,8,17,10,7,17,0,fight
10,10,20,10,10,20,0,fight
3,2,26,3,9,12,1,bread
9,11,20,7,8,15,-1,gone
7,3,20,11,3,14,-1,gone
9,10,19,5,4,19,0,fight
10,7,17,10,4,14,-1,gone
11,4,25,6,10,16,1,bread
9,10,19,10,3,13,-1,gone
7,10,17,4,2,16,-1,gone
8,9,17,6,10,16,-1,gone
6,7,24,5,10,15,1,bread
10,10,20,8,9,17,-1,gone
7,3,17,6,10,16,-1,gone
10,10,20,5,11,16,-1,gone
6,10,26,2,10,12,1,bread
10,5,22,7,10,17,1,bread
10,10,20,8,7,15,-1,gone
3,8,21,6,10,16,-1,gone
11,10,31,10,9,19,1,bread
8,10,18,9,10,19,1,bread
5,5,16,7,10,17,1,bread
8,5,17,8,10,18,1,bread
8,9,17,11,7,18,1,bread
8,5,17,4,5,12,-1,gone
7,11,18,10,5,15,-1,gone
7,7,21,8,10,18,-1,gone
8,9,17,4,10,14,-1,gone
8,11,19,10,5,15,-1,gone
10,8,18,4,4,18,0,fight
5,10,25,4,10,14,1,bread
8,10,18,9,5,14,-1,gone
2,10,19,5,10,15,-1,gone
9,5,19,9,5,14,-1,gone
3,7,20,10,5,15,-1,gone
3,5,24,3,10,13,1,bread
10,10,20,8,4,12,-1,gone
10,9,19,4,9,13,-1,gone
10,8,18,6,4,10,-1,gone
10,11,23,11,11,22,1,bread
10,9,19,3,5,13,-1,gone
10,3,18,3,5,14,-1,gone
4,5,20,11,8,19,-1,gone
9,3,23,8,7,15,1,bread
9,4,24,10,11,21,1,bread
3,11,17,9,2,11,-1,gone
10,3,23,8,10,18,1,bread
10,10,20,9,3,12,-1,gone
10,11,29,9,5,14,1,bread
9,10,19,5,10,15,-1,gone
2,10,22,5,4,15,1,bread
10,6,19,7,10,17,-1,gone
11,2,23,7,2,19,1,bread
11,5,18,6,6,12,-1,gone
2,8,19,6,9,15,-1,gone
10,9,19,10,2,12,-1,gone
